dataset_ref,dataset_title,dataset_url,dataset_description,size,download_count,view_count,vote_count,popularity_score,last_updated,days_since_update,dataset_tags,owner_name,license_name,data_source
timoboz/data-science-cheat-sheets,Data Science Cheat Sheets,https://www.kaggle.com/datasets/timoboz/data-science-cheat-sheets,,0.00 B,,,,,,,"classification, deep learning",,,kaggle
ruchi798/data-science-job-salaries,Data Science Job Salaries,https://www.kaggle.com/datasets/ruchi798/data-science-job-salaries,,0.00 B,,,,,,,"business, computer science, programming",,,kaggle
arnabchaki/data-science-salaries-2023,Data Science Salaries 2023 💸,https://www.kaggle.com/datasets/arnabchaki/data-science-salaries-2023,,0.00 B,,,,,,,"business, computer science, data visualization, classification, jobs and career",,,kaggle
roche-data-science-coalition/uncover,UNCOVER COVID-19 Challenge,https://www.kaggle.com/datasets/roche-data-science-coalition/uncover,,0.00 B,,,,,,,"public health, business, computer science, covid19",,,kaggle
brsahan/data-science-job,Data Science Job,https://www.kaggle.com/datasets/brsahan/data-science-job,,0.00 B,,,,,,,"business, computer science",,,kaggle
larsen0966/student-performance-data-set, Student Performance Data Set,https://www.kaggle.com/datasets/larsen0966/student-performance-data-set,,0.00 B,,,,,,,"education, standardized testing",,,kaggle
passnyc/data-science-for-good,Data Science for Good: PASSNYC,https://www.kaggle.com/datasets/passnyc/data-science-for-good,,0.00 B,,,,,,,"games, business, education, demographics, computer science, data visualization",,,kaggle
iamsouravbanerjee/data-science-salaries-2023,Latest Data Science Salaries,https://www.kaggle.com/datasets/iamsouravbanerjee/data-science-salaries-2023,,0.00 B,,,,,,,"business, beginner, exploratory data analysis, time series analysis, tabular",,,kaggle
kiva/data-science-for-good-kiva-crowdfunding,Data Science for Good: Kiva Crowdfunding,https://www.kaggle.com/datasets/kiva/data-science-for-good-kiva-crowdfunding,,0.00 B,,,,,,,"geography, finance, lending, crowdfunding, economics, gambling",,,kaggle
kimjihoo/coronavirusdataset,[NeurIPS 2020] Data Science for COVID-19 (DS4C),https://www.kaggle.com/datasets/kimjihoo/coronavirusdataset,,0.00 B,,,,,,,"universities and colleges, biology, data visualization, tabular, covid19",,,kaggle
uciml/pima-indians-diabetes-database,Pima Indians Diabetes Database,https://www.kaggle.com/datasets/uciml/pima-indians-diabetes-database,,0.00 B,,,,,,,"india, healthcare, earth and nature, health, diabetes, benchmark dataset, benchmark",,,kaggle
uciml/breast-cancer-wisconsin-data,Breast Cancer Wisconsin (Diagnostic) Data Set,https://www.kaggle.com/datasets/uciml/breast-cancer-wisconsin-data,,0.00 B,,,,,,,"healthcare, cancer",,,kaggle
uciml/red-wine-quality-cortez-et-al-2009,Red Wine Quality,https://www.kaggle.com/datasets/uciml/red-wine-quality-cortez-et-al-2009,,0.00 B,,,,,,,"alcohol, earth and nature, education, beginner, benchmark dataset, benchmark",,,kaggle
uciml/iris,Iris Species,https://www.kaggle.com/datasets/uciml/iris,,0.00 B,,,,,,,biology,,,kaggle
uciml/mushroom-classification,Mushroom Classification,https://www.kaggle.com/datasets/uciml/mushroom-classification,,0.00 B,,,,,,,"earth and nature, biology, public safety, benchmark dataset, benchmark",,,kaggle
